Algorithm,1000 Elements,5000 Elements,10000 Elements,25000 Elements,50000 Elements
merge_sort,0.0009999275207519,0.0080618858337402,0.0167362689971923,0.054523229598999,0.120560884475708
merge_sort,0.0020735263824462,0.0075724124908447,0.0181412696838378,0.0524148941040039,0.1116955280303955
merge_sort,0.0010707378387451,0.0088686943054199,0.0331733226776123,0.0513958930969238,0.1157882213592529
merge_sort,0.0024311542510986,0.0077161788940429,0.0174851417541503,0.0526440143585205,0.115185260772705
merge_sort,0.0005271434783935,0.0084941387176513,0.0180256366729736,0.0530753135681152,0.1122891902923584
merge_sort,0.0019974708557128,0.0095150470733642,0.0180754661560058,0.0563118457794189,0.1230013370513916
merge_sort,0.0010364055633544,0.007314920425415,0.0190269947052001,0.0509607791900634,0.1177122592926025
merge_sort,0.0009975433349609,0.0084254741668701,0.0171511173248291,0.0509376525878906,0.1183524131774902
merge_sort,0.002007246017456,0.0085508823394775,0.0185074806213378,0.0566353797912597,0.1152582168579101
merge_sort,0.0009946823120117,0.0075123310089111,0.0180318355560302,0.0522263050079345,0.1202661991119384
heap_sort,0.0021419525146484,0.0116217136383056,0.0254478454589843,0.0730631351470947,0.1852262020111084
heap_sort,0.0015838146209716,0.0121397972106933,0.0254137516021728,0.0769598484039306,0.1718173027038574
heap_sort,0.0012485980987548,0.0123889446258544,0.025850772857666,0.0763101577758789,0.1785540580749511
heap_sort,0.0020732879638671,0.0127894878387451,0.0277209281921386,0.0774118900299072,0.1717610359191894
heap_sort,0.0010170936584472,0.0113086700439453,0.0259163379669189,0.0748114585876464,0.1744656562805175
heap_sort,0.0019993782043457,0.0113153457641601,0.0271844863891601,0.07460618019104,0.1746778488159179
heap_sort,0.0019927024841308,0.0257871150970459,0.0263557434082031,0.0790967941284179,0.1683993339538574
heap_sort,0.0010161399841308,0.010704755783081,0.029306411743164,0.0757491588592529,0.1755800247192382
heap_sort,0.001570701599121,0.0119030475616455,0.0286307334899902,0.0753979682922363,0.1822884082794189
heap_sort,0.0010082721710205,0.0120198726654052,0.0256969928741455,0.0770919322967529,0.180927038192749
improved_bubble_sort,0.0355629920959472,1.114609956741333,4.786480903625488,36.610076665878296,175.02434825897217
improved_bubble_sort,0.0372004508972168,1.3947441577911377,8.46087121963501,41.323176860809326,192.37692141532887
improved_bubble_sort,0.0391879081726074,1.4050331115722656,9.082103252410889,43.07763051986694,189.933673620224
improved_bubble_sort,0.0362104177474976,1.0928186178207395,4.815689683914185,36.72523593902588,174.8652431248366
improved_bubble_sort,0.0381144523620605,1.4236804246902466,8.531478574752809,41.10430288314819,193.0458322716328
improved_bubble_sort,0.0402159690856934,1.3914053440093994,9.101889848709106,43.2457492351532,190.1204464526368
improved_bubble_sort,0.0377930631637573,1.3753485689163207,8.484920740127563,41.17475867271423,192.0478491221243
improved_bubble_sort,0.0397200584411621,1.4127984056472778,9.132204413414,43.14273500442589,190.6522270535278
improved_bubble_sort,0.0376644134521484,1.4156793355941772,8.555137515067578,41.22570276260376,191.1678841304217
improved_bubble_sort,0.0389224290847778,1.3575094347000125,8.427771210670471,41.05913972854614,191.5206774623727
selection_sort,0.0181162357330322,0.4529376029968261,1.9434361457824707,15.40433931350708,89.52293372154236
selection_sort,0.0155215263366699,0.3787879943847656,2.0548102855682373,16.71997618675232,100.6161379814148
selection_sort,0.0150144100189208,0.4135439395904541,1.851887464523316,18.03552746772766,115.66026949882507
selection_sort,0.0211727619171142,0.4916889667510986,2.162668228149414,17.425666332244873,139.8005290031433
selection_sort,0.0186166763305664,0.4800052642822265,2.1725690364837646,23.25688052177429,169.86495685577393
selection_sort,0.0200247764587402,0.4935171604156494,2.1482949256896973,24.49699544906616,140.48128962516785
selection_sort,0.0230011940002441,0.5978732109069824,2.5494425296783447,27.22811818122864,183.2534680366516
selection_sort,0.0180344581604003,0.5131609439849854,2.381225347518921,37.33508491516113,142.34462881088257
selection_sort,0.0178425312042236,0.5232365131378174,2.4486262798309326,35.53358340263367,141.7091588973999
selection_sort,0.019598007202148438,0.5298459529876709,5.231496810913086,42.05821490287781,125.61180567741394
