Algorithm,1000 Elements,5000 Elements,10000 Elements,25000 Elements,50000 Elements
heap_sort,0.0016555786132812,0.0115809440612792,0.0238778591156005,0.066256046295166,0.1480720043182373
heap_sort,0.0019292831420898,0.0105121135711669,0.023510456085205,0.0693910121917724,0.1515512466430664
heap_sort,0.0015289783477783,0.0102918148040771,0.0247833728790283,0.0682334899902343,0.146909475326538
heap_sort,0.0028762817382812,0.0131568908691406,0.023123025894165,0.0692427158355712,0.1416118144989013
heap_sort,0.0019998550415039,0.0109083652496337,0.0234053134918212,0.0695817470550537,0.1628246307373047
heap_sort,0.00099778175354,0.0251672267913818,0.0386824607849121,0.0735738277435302,0.1456465721130371
heap_sort,0.0021989345550537,0.0111124515533447,0.0262181758880615,0.067411184310913,0.1462070941925048
heap_sort,0.0020003318786621,0.0111007690429687,0.0246822834014892,0.0687944889068603,0.1677658557891845
heap_sort,0.0025084018707275,0.0110342502593994,0.0243647098541259,0.0700850486755371,0.1540524959564209
improved_bubble_sort,0.04453706741333,1.3491370677947998,6.392102956771851,46.368446350097656,205.02345061302185
improved_bubble_sort,0.048285961151123,1.4206082820892334,7.206936836242676,46.26279664039612,229.0052597522736
improved_bubble_sort,0.0504441261291503,1.7219667434692385,6.908345937728882,48.108110427856445,227.73542857170105
improved_bubble_sort,0.0452132472991943,1.3352400064468384,6.422145604133606,46.45358753204346,204.7436816700649
improved_bubble_sort,0.0478276014328003,1.412532091140747,7.196280360221863,46.38136854171753,228.5637288474926
improved_bubble_sort,0.0510092163085938,1.6981401443481443,6.920491084098816,48.27179718017578,228.022239812305
improved_bubble_sort,0.0498002119064331,1.7353548049926757,6.947724962234497,48.04360389709473,226.981642008602
improved_bubble_sort,0.0469424724578857,1.3768529891967771,6.407203769683838,46.52735137939453,203.4858126649862
improved_bubble_sort,0.0485613346099854,1.417736530303955,7.129046308517456,46.21196460723877,229.6021830781151
improved_bubble_sort,0.0496073951721191,1.6712646484375,6.891118967056274,48.184950828552246,227.43963403504583
selection_sort,0.0182826519012451,0.4652414321899414,1.923802137374878,14.23482060432434,54.53591227531433
selection_sort,0.0160830020904541,0.408278226852417,1.8597829341888428,16.360275506973267,63.36520123481751
selection_sort,0.0160236358642578,0.4225480556488037,1.871114015579224,16.22551918029785,63.72883200645447
selection_sort,0.0210192203521728,0.5399343967437744,2.3538827896118164,14.854089260101318,137.91411972045898
selection_sort,0.0175831317901611,0.5098433494567871,2.091282367706299,15.537999629974363,134.59388637542725
selection_sort,0.0210273265838623,0.5325827598571777,2.1684017181396484,17.758987188339233,115.55620980262756
selection_sort,0.0239765644073486,0.5754413604736328,2.487856149673462,20.21262216567993,141.73234629631042
selection_sort,0.0194981098175048,0.5463540554046631,2.161915063858032,19.85434079170227,93.49691128730774
selection_sort,0.0203776359558105,0.5250017642974854,2.2581241130828857,22.740407466888428,74.91547346115112
selection_sort,0.02325296401977539,0.5694310665130615,5.285192966461182,22.397798776626587,68.25913524627686
